iter	Logloss
0	0.4069461634
1	0.2990831157
2	0.2615112624
3	0.2416272802
4	0.232954645
5	0.222963601
6	0.2181598396
7	0.2148850564
8	0.2124479133
9	0.2074634089
10	0.2049061297
11	0.2020701896
12	0.2006909763
13	0.1941443337
14	0.1926092114
15	0.1907446688
16	0.1898367252
17	0.1849053242
18	0.1839936168
19	0.1833559244
20	0.1823976872
21	0.1818514023
22	0.1812977456
23	0.1794555319
24	0.1787818732
25	0.1782092449
26	0.1778137853
27	0.1774496719
28	0.1765325258
29	0.1761614537
30	0.1753488853
31	0.1747149441
32	0.174225308
33	0.1738826039
34	0.1726803866
35	0.1720885267
36	0.1714927211
37	0.1711257856
38	0.1705800848
39	0.1703037149
40	0.1700561514
41	0.1695011958
42	0.1690818702
43	0.1687435204
44	0.1683025876
45	0.1676243318
46	0.1669318553
47	0.1660227125
48	0.1657904656
49	0.1652309301
50	0.1646583935
51	0.1643178557
52	0.1640560258
53	0.1635884492
54	0.1620994421
55	0.1616944002
56	0.1612838855
57	0.1610405773
58	0.1605785214
59	0.1601984406
60	0.1592985044
61	0.1590871666
62	0.1587983306
63	0.1585398182
64	0.1582790273
65	0.1579782351
66	0.1575360508
67	0.1573144456
68	0.1570904831
69	0.1568852265
70	0.1564568537
71	0.1561749757
72	0.1554260276
73	0.1550858323
74	0.1548442349
75	0.1545196508
76	0.1540992555
77	0.1537512206
78	0.1536018723
79	0.1533440734
80	0.1529919803
81	0.1525722583
82	0.1524108091
83	0.1520801619
84	0.1518765343
85	0.1515747653
86	0.151295722
87	0.1509821731
88	0.1507747867
89	0.1502403056
90	0.1500885701
91	0.1497773415
92	0.1494106834
93	0.1492082824
94	0.1489494742
95	0.1486624018
96	0.1484331801
97	0.1482082168
98	0.1480703905
99	0.147797881
100	0.1474999474
101	0.1472315178
102	0.1470506761
103	0.1467167737
104	0.1464680765
105	0.1461895899
106	0.1459185813
107	0.1457115121
108	0.1455281833
109	0.145344658
110	0.145054518
111	0.1448346912
112	0.1446695357
113	0.1445531637
114	0.1442574656
115	0.1441029744
116	0.1439019566
117	0.1434920908
118	0.1432823274
119	0.1431353619
120	0.1429774799
121	0.1428151274
122	0.1426922264
123	0.1424271286
124	0.1422305296
125	0.1419924003
126	0.1418135123
127	0.1416638008
128	0.1414811879
129	0.1411707991
130	0.1408656079
131	0.1406454601
132	0.1405457382
133	0.1404006594
134	0.1402189467
135	0.1399446192
136	0.139760942
137	0.1395867764
138	0.1393667003
139	0.1392087316
140	0.1389433248
141	0.1388002216
142	0.1386553701
143	0.1384639831
144	0.1382875536
145	0.1381381155
146	0.138013316
147	0.1378057058
148	0.1375753822
149	0.1373066885
150	0.1371619399
